"sss","cc","aa"
"7","Smith, Stanley and White","Optician, dispensing"
"5","Anderson-Wilson","Architect"
"1","Rowe, Austin and Mclaughlin","Engineer, electrical"
"3","Robertson and Sons","Publishing copy"
"10","Johnson Ltd","Financial adviser"
"4","Jackson-Jackson","Environmental manager"
"2","Wiggins, Howell and Rivera","Occupational psychologist"
"6","Watson PLC","Air traffic controller"
"2","Walker-Daniel","Television camera operator"
"4","Neal Inc","Accounting technician"
"7","Davidson, Kemp and Porter","Therapist, sports"
"8","Mack Inc","Purchasing manager"
